env_id,obs_mode,num_envs,num_cameras,camera_resolution,isaac_fps,maniskill_fps,fps_ratio,isaac_psps,maniskill_psps,psps_ratio
CartpoleBalanceBenchmark-v1,rgb,4,1,640x480,590.7344787455929,2802.416090208006,4.7439521325365215,147.68361968639823,700.6040225520015,4.7439521325365215
CartpoleBalanceBenchmark-v1,rgb,16,1,640x480,1644.2349063675551,6315.884657627329,3.84123012664923,102.7646816479722,394.74279110170806,3.84123012664923
CartpoleBalanceBenchmark-v1,rgb,32,1,640x480,2524.85668674992,8019.637989253551,3.1762745312791187,78.901771460935,250.61368716417343,3.1762745312791183
CartpoleBalanceBenchmark-v1,rgb,64,1,640x480,3859.076681442074,9271.329868096142,2.4024736053266493,60.298073147532406,144.8645291890022,2.4024736053266493
CartpoleBalanceBenchmark-v1,rgb,128,1,640x480,4556.06371699488,10114.106680349803,2.2199221320418525,35.5942477890225,79.01645844023284,2.2199221320418525
CartpoleBalanceBenchmark-v1,rgb,4,3,320x180,423.56387514476273,2557.2354106316643,6.037425665155391,105.89096878619068,639.3088526579161,6.037425665155391
CartpoleBalanceBenchmark-v1,rgb,16,3,320x180,1501.222260780568,5314.385050859312,3.540038800181441,93.8263912987855,332.149065678707,3.540038800181441
CartpoleBalanceBenchmark-v1,rgb,32,3,320x180,2412.753894199832,6504.425211485841,2.6958510883029683,75.39855919374475,203.26328785893253,2.6958510883029683
CartpoleBalanceBenchmark-v1,rgb,64,3,320x180,3767.00016352852,7448.421044803855,1.9772818480121797,58.85937755513313,116.38157882506025,1.9772818480121797
CartpoleBalanceBenchmark-v1,rgb,256,3,320x180,6836.272829942765,8209.9337368622,1.200937110190047,26.704190741963927,32.07005365961797,1.200937110190047
CartpoleBalanceBenchmark-v1,depth,4,3,320x180,404.35159331926354,2398.3602671856447,5.931373356285933,101.08789832981589,599.5900667964112,5.931373356285933
CartpoleBalanceBenchmark-v1,depth,16,3,320x180,1367.3629013637674,5088.816478671993,3.7216283062795967,85.46018133523546,318.05102991699954,3.7216283062795967
CartpoleBalanceBenchmark-v1,depth,32,3,320x180,2470.278132590512,6184.946961177488,2.5037451773462878,77.1961916434535,193.27959253679649,2.5037451773462873
CartpoleBalanceBenchmark-v1,depth,64,3,320x180,4009.211664733244,7208.218711433638,1.797914232077154,62.64393226145694,112.6284173661506,1.797914232077154
CartpoleBalanceBenchmark-v1,depth,128,3,320x180,5275.69108910393,7654.337999976076,1.4508692549844038,41.21633663362445,59.7995156248131,1.4508692549844038
CartpoleBalanceBenchmark-v1,depth,256,3,320x180,7208.84861132114,7904.91181868445,1.0965567797151652,28.159564887973204,30.87856179173613,1.096556779715165
CartpoleBalanceBenchmark-v1,depth,4,1,640x480,573.4188103830226,2708.1660558830304,4.7228413279189,143.35470259575564,677.0415139707576,4.7228413279189
CartpoleBalanceBenchmark-v1,depth,16,1,640x480,1738.2766395857698,6039.0494009982285,3.4741589822189236,108.6422899741106,377.4405875623893,3.474158982218924
CartpoleBalanceBenchmark-v1,depth,32,1,640x480,2531.409004933653,7471.663090539697,2.951582725658956,79.10653140417665,233.4894715793656,2.951582725658957
CartpoleBalanceBenchmark-v1,depth,64,1,640x480,3793.7491737601854,8600.461005841646,2.2670083371160974,59.27733084000292,134.3822032162757,2.2670083371160965
CartpoleBalanceBenchmark-v1,depth,128,1,640x480,4349.550254496909,9324.482243054608,2.1437807813380756,33.9808613632571,72.84751752386413,2.1437807813380756
FrankaBenchmark-v1,depth,4,1,640x480,535.1440492457602,1317.9163380166403,2.462731931475517,133.78601231144006,329.4790845041601,2.462731931475517
FrankaBenchmark-v1,depth,16,1,640x480,1521.817899965504,3138.9476278934667,2.0626302450277523,95.113618747844,196.18422674334167,2.0626302450277523
